                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                    nan,                    nan,                    nan,                0.00226,                0.00322,                0.00133,                 0.0003,                    nan,                    nan,                    nan,             8.4971e-05,             8.4971e-05,             8.4971e-05
                     73,                    nan,                    nan,                    nan,                 0.0071,                0.00753,                0.00414,                0.00173,                    nan,                    nan,                    nan,             8.2139e-05,             8.2139e-05,             8.2139e-05
                     74,                    nan,                    nan,                    nan,                0.00654,                0.00753,                0.00388,                 0.0017,                    nan,                    nan,                    nan,             7.9308e-05,             7.9308e-05,             7.9308e-05
                     75,                    nan,                    nan,                    nan,                0.00768,                0.00753,                0.00441,                0.00192,                    nan,                    nan,                    nan,             7.6476e-05,             7.6476e-05,             7.6476e-05
                     76,                    nan,                    nan,                    nan,                0.00787,                0.00753,                0.00454,                0.00211,                    nan,                    nan,                    nan,             7.3645e-05,             7.3645e-05,             7.3645e-05
                     77,                    nan,                    nan,                    nan,                0.00666,                0.00753,                0.00405,                0.00175,                    nan,                    nan,                    nan,             7.0814e-05,             7.0814e-05,             7.0814e-05
                     78,                    nan,                    nan,                    nan,                0.00613,                0.00603,                0.00376,                 0.0015,                    nan,                    nan,                    nan,             6.7982e-05,             6.7982e-05,             6.7982e-05
                     79,                    nan,                    nan,                    nan,                0.00675,                0.00753,                0.00434,                0.00192,                    nan,                    nan,                    nan,             6.5151e-05,             6.5151e-05,             6.5151e-05
                     80,                    nan,                    nan,                    nan,                0.00747,                0.00603,                 0.0044,                0.00179,                    nan,                    nan,                    nan,             6.2319e-05,             6.2319e-05,             6.2319e-05
                     81,                    nan,                    nan,                    nan,                0.00138,                0.00172,                0.00105,                0.00021,                    nan,                    nan,                    nan,             5.9488e-05,             5.9488e-05,             5.9488e-05
                     82,                    nan,                    nan,                    nan,                 0.0015,                0.00172,                0.00103,                 0.0001,                    nan,                    nan,                    nan,             5.6657e-05,             5.6657e-05,             5.6657e-05
                     83,                    nan,                    nan,                    nan,                0.00172,                0.00172,                0.00114,                0.00023,                    nan,                    nan,                    nan,             5.3825e-05,             5.3825e-05,             5.3825e-05
                     84,                    nan,                    nan,                    nan,                0.00204,                0.00322,                0.00115,                0.00049,                    nan,                    nan,                    nan,             5.0994e-05,             5.0994e-05,             5.0994e-05
                     85,                    nan,                    nan,                    nan,                0.00138,                0.00172,                0.00105,                0.00021,                    nan,                    nan,                    nan,             4.8162e-05,             4.8162e-05,             4.8162e-05
                     86,                    nan,                    nan,                    nan,                0.00649,                0.00603,                0.00383,                0.00149,                    nan,                    nan,                    nan,             4.5331e-05,             4.5331e-05,             4.5331e-05
                     87,                    nan,                    nan,                    nan,                0.00172,                0.00172,                 0.0016,                0.00032,                    nan,                    nan,                    nan,               4.25e-05,               4.25e-05,               4.25e-05
                     88,                    nan,                    nan,                    nan,                0.00713,                0.00603,                0.00405,                 0.0017,                    nan,                    nan,                    nan,             3.9668e-05,             3.9668e-05,             3.9668e-05
                     89,                    nan,                    nan,                    nan,                0.00775,                0.00753,                 0.0045,                0.00201,                    nan,                    nan,                    nan,             3.6837e-05,             3.6837e-05,             3.6837e-05
                     90,                    nan,                    nan,                    nan,                0.00236,                0.00322,                0.00129,                0.00045,                    nan,                    nan,                    nan,             3.4005e-05,             3.4005e-05,             3.4005e-05
                     91,                    nan,                    nan,                    nan,                0.01284,                0.00935,                0.00816,                 0.0039,                    nan,                    nan,                    nan,             3.1174e-05,             3.1174e-05,             3.1174e-05
                     92,                    nan,                    nan,                    nan,                0.00748,                0.00504,                0.00507,                0.00266,                    nan,                    nan,                    nan,             2.8343e-05,             2.8343e-05,             2.8343e-05
                     93,                    nan,                    nan,                    nan,                0.00616,                0.00481,                0.00512,                0.00371,                    nan,                    nan,                    nan,             2.5511e-05,             2.5511e-05,             2.5511e-05
                     94,                    nan,                    nan,                    nan,                0.01374,                0.00928,                0.00934,                0.00729,                    nan,                    nan,                    nan,              2.268e-05,              2.268e-05,              2.268e-05
                     95,                    nan,                    nan,                    nan,                 0.0023,                0.00565,                 0.0028,                0.00229,                    nan,                    nan,                    nan,             1.9848e-05,             1.9848e-05,             1.9848e-05
                     96,                    nan,                    nan,                    nan,                 0.0121,                0.00928,                0.00839,                0.00591,                    nan,                    nan,                    nan,             1.7017e-05,             1.7017e-05,             1.7017e-05
                     97,                    nan,                    nan,                    nan,                0.01088,                0.00928,                0.00923,                0.00694,                    nan,                    nan,                    nan,             1.4186e-05,             1.4186e-05,             1.4186e-05
                     98,                    nan,                    nan,                    nan,                0.00502,                0.00481,                0.00388,                0.00364,                    nan,                    nan,                    nan,             1.1354e-05,             1.1354e-05,             1.1354e-05
                     99,                    nan,                    nan,                    nan,                0.00477,                0.00747,                0.00345,                0.00314,                    nan,                    nan,                    nan,             8.5228e-06,             8.5228e-06,             8.5228e-06
                    100,                    nan,                    nan,                    nan,                 0.0046,                0.00481,                0.00573,                0.00537,                    nan,                    nan,                    nan,             5.6914e-06,             5.6914e-06,             5.6914e-06
